,,,,,,,,,CREATE,,,,,FileID GUID (RSP) ,CreateOptions (REQ),FileAttributes (REQ) ,FileAttributes (RSP) ,AllocationSize (RSP),FilePath 
,,,,,,,,,CLOSE,,,,,FileID GUID (REQ/RSP) ,CreationTime (RSP) ,LastWrite (RSP),LastChange (RSP),File Attributes (RSP) ,EnfOfFile (RSP)
,,,,,,,,,QUERY_INFO,,,,,FileID GUID (REQ/RSP) ,InfoType (REQ),FileInfoClass (REQ),,,
,,,,,,,,,SET_INFO,,,,,FileID GUID (REQ/RSP) ,InfoType (REQ),FileInfoClass (REQ),"NewFilePathSolo para la File Info Class numero 10 (renombrado), contiene el nuevo path anonimizado (salvo la ultima extension,mantiene la estructura de subdirectorios)",,
,,,,,,,,,READ,,,,,FileID GUID (REQ/RSP),Length (REQ),Offset (REQ) ,DataLength (RSP) ,DataRemaining (RSP) ,
,,,,,,,,,WRITE,,,,,FileID GUID (REQ/RSP) ,Length (REQ),Offset (REQ) ,DataLength (RSP) ,,
,,,,,,,,,FLUSH,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,LOCK,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,IOCTL,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,QUERY_DIRECTORY,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,CHANGE_NOTIFY,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
192.168.1.4,49245,192.168.1.5,445,40,188.064208,188.064208,188.503596,188.505957,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5046272,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.064310,188.064310,188.505957,188.507007,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5111808,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.064451,188.064451,188.507892,188.509951,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5177344,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.064553,188.064553,188.509951,188.511074,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5242880,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.064688,188.064688,188.511074,188.512593,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5308416,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.067259,188.067259,188.513527,188.515468,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,6619136,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.064790,188.064790,188.515468,188.517136,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5373952,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.067500,188.067500,188.517136,188.518885,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,6750208,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.064933,188.064933,188.518885,188.521729,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5439488,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.065078,188.065078,188.521729,188.523362,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5505024,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.065198,188.065198,188.523362,188.526105,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5570560,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.065302,188.065302,188.526105,188.528865,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5636096,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.065430,188.065430,188.528865,188.530444,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5701632,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.065533,188.065533,188.530444,188.531781,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5767168,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.065674,188.065674,188.531781,188.534132,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5832704,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.068586,188.068586,188.534132,188.535137,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,7274496,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.065797,188.065797,188.539010,188.540882,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5898240,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.065906,188.065906,188.540882,188.541965,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,5963776,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.066008,188.066008,188.541965,188.543968,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,6029312,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.066172,188.066172,188.543968,188.546116,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,6094848,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.066274,188.066274,188.546116,188.547794,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,6160384,65536,0,
